,index,weight,date,21day_return,portfolio_return,month_label,portfolio_return_pred
0,ABT,0.10113,5/1/2024,-4.280741368,-0.432911375,2024-05,-0.004697591
1,ADM,0.0297,5/1/2024,3.889839531013024,0.1155282340710868,2024-05,-0.004697591
2,APD,0.01174,5/1/2024,9.688829003328323,0.1137468524990745,2024-05,-0.004697591
3,BALL,0.00818,5/1/2024,0.5565319274658123,0.004552431,2024-05,-0.004697591
4,CMCSA,0.02245,5/1/2024,1.753926701593201,0.039375654,2024-05,-0.004697591
5,EA,0.18438,5/1/2024,2.526864258342471,0.4659032319531847,2024-05,-0.004697591
6,GLW,0.01448,5/1/2024,10.39426523292218,0.1505089605727132,2024-05,-0.004697591
7,GOOG,0.01123,5/1/2024,4.825751699624334,0.054193192,2024-05,-0.004697591
8,NEM,0.04046,5/1/2024,3.228191227,0.1306126170507014,2024-05,-0.004697591
9,OXY,0.00143,5/1/2024,-5.027152832,-0.007188829,2024-05,-0.004697591
10,SYY,0.04454,5/1/2024,-1.916495551,-0.085360712,2024-05,-0.004697591
11,TSN,0.11616,5/1/2024,-5.340852546,-0.620393432,2024-05,-0.004697591
12,UNH,0.17577,5/1/2024,-0.508148974,-0.089317345,2024-05,-0.004697591
13,VLO,0.04329,5/1/2024,-2.370551201,-0.102621162,2024-05,-0.004697591
14,WEC,0.16209,5/1/2024,-3.0878875,-0.500515685,2024-05,-0.004697591
15,WELL,0.03296,5/1/2024,8.923793719316578,0.2941282409886744,2024-05,-0.004697591
16,ABT,0.11348,6/3/2024,0.320793234,0.036403616,2024-06,0.001343068
17,ADM,0.03464,6/3/2024,0.2258428777845154,0.007823197,2024-06,0.001343068
18,APD,0.00963,6/3/2024,-6.686282722,-0.064388903,2024-06,0.001343068
19,BALL,0.00586,6/3/2024,-14.28366351,-0.083702268,2024-06,0.001343068
20,CMCSA,0.03457,6/3/2024,-3.587670541,-0.124025771,2024-06,0.001343068
21,EA,0.18941,6/3/2024,4.428904428905994,0.8388787878790844,2024-06,0.001343068
22,EMR,0.00848,6/3/2024,0.2201229019156017,0.001866642,2024-06,0.001343068
23,GLW,0.00437,6/3/2024,2.756959315,0.012047912,2024-06,0.001343068
24,GOOG,0.00462,6/3/2024,7.110625782,0.032851091,2024-06,0.001343068
25,NEM,0.03692,6/3/2024,0.1844797303150187,0.006810992,2024-06,0.001343068
26,OXY,0.00073,6/3/2024,3.32976494,0.002430728,2024-06,0.001343068
27,SYY,0.05725,6/3/2024,-3.552397869,-0.203374778,2024-06,0.001343068
28,TSN,0.10599,6/3/2024,0.3507541214244014,0.037176429,2024-06,0.001343068
29,UNH,0.15745,6/3/2024,0.5907597018355375,0.093015115,2024-06,0.001343068
30,VLO,0.04673,6/3/2024,2.611407041754887,0.1220310510612059,2024-06,0.001343068
31,WEC,0.16307,6/3/2024,-3.86794777,-0.630746243,2024-06,0.001343068
32,WELL,0.02681,6/3/2024,1.835479531,0.049209206,2024-06,0.001343068
33,ABT,0.11443,7/1/2024,2.599425230229883,0.2974522290952056,2024-07,0.087531597
34,ADM,0.0336,7/1/2024,3.067282321840167,0.1030606860138296,2024-07,0.087531597
35,APD,0.01485,7/1/2024,6.828656909513015,0.1014055551062683,2024-07,0.087531597
36,BALL,0.00573,7/1/2024,6.213266162965667,0.035602015,2024-07,0.087531597
37,CMCSA,0.03241,7/1/2024,7.787493326,0.2523926586804672,2024-07,0.087531597
38,EA,0.18839,7/1/2024,8.593067288,1.618847946407962,2024-07,0.087531597
39,EMR,0.01021,7/1/2024,7.080055529857844,0.072287367,2024-07,0.087531597
40,GLW,0.00666,7/1/2024,2.793585101,0.018605277,2024-07,0.087531597
41,GOOG,0.00635,7/1/2024,-6.845898223,-0.043471454,2024-07,0.087531597
42,NEM,0.03668,7/1/2024,13.82953181293156,0.5072672268983297,2024-07,0.087531597
43,OXY,0.00041,7/1/2024,-4.150763359,-0.001701813,2024-07,0.087531597
44,SYY,0.05689,7/1/2024,10.18734420285827,0.5795580117006071,2024-07,0.087531597
45,TSN,0.10349,7/1/2024,6.188981868947366,0.6404977336173628,2024-07,0.087531597
46,UNH,0.1537,7/1/2024,16.51268573738467,2.537999797836024,2024-07,0.087531597
47,VLO,0.04606,7/1/2024,3.481453348525747,0.1603557412330959,2024-07,0.087531597
48,WEC,0.16225,7/1/2024,10.18149053928148,1.651946839998421,2024-07,0.087531597
49,WELL,0.0279,7/1/2024,7.923076923020901,0.2210538461522831,2024-07,0.087531597
50,ABT,0.11667,8/1/2024,2.369496141618654,0.2764491148426484,2024-08,0.026177345
51,ADM,0.03408,8/1/2024,1.444573100987071,0.049231051,2024-08,0.026177345
52,APD,0.01509,8/1/2024,-3.607332939,-0.054434654,2024-08,0.026177345
53,BALL,0.00558,8/1/2024,-3.331267431,-0.018588472,2024-08,0.026177345
54,CMCSA,0.02724,8/1/2024,-1.987083954,-0.054128167,2024-08,0.026177345
55,EA,0.18439,8/1/2024,1.375460488281234,0.2536211594341768,2024-08,0.026177345
56,EMR,0.00815,8/1/2024,-7.48952813,-0.061039654,2024-08,0.026177345
57,GLW,0.01432,8/1/2024,4.570429570351052,0.065448551,2024-08,0.026177345
58,GOOG,0.01562,8/1/2024,-5.247893083,-0.08197209,2024-08,0.026177345
